tweet_id, favorite_count, retweet_count
856543823941562368,14843,2549
856526610513747968,10831,1654
856288084350160898,488,15
856282028240666624,25253,5585
855860136149123072,4408,853
855857698524602368,10863,1862
855851453814013952,41916,16137
855818117272018944,24287,4816
855459453768019968,27117,7308
855245323840757760,0,5268
855138241867124737,0,36
854732716440526848,20703,5355
854482394044301312,26598,6028
854365224396361728,17211,4154
854120357044912130,29246,6600
854010172552949760,14843,2795
853760880890318849,26106,5118
853639147608842240,31577,8888
853299958564483072,14179,3172
852936405516943360,0,1790
852912242202992640,8256,1602
852672615818899456,13655,1914
852553447878664193,14913,3122
852311364735569921,30386,8887
852226086759018497,18365,6101
852189679701164033,10575,1419
851591660324737024,14975,3127
851464819735769094,22287,6319
851224888060895234,19063,5176
850753642995093505,28177,8091
850380195714523136,12090,2334
850333567704068097,3193,301
850145622816686080,15063,3400
850019790995546112,18799,4377
849776966551130114,27936,6827
849668094696017920,0,4451
849412302885593088,14688,2835
849336543269576704,10567,1695
849051919805034497,39057,7637
848690551926992896,23298,3930
848324959059550208,22855,4158
848213670039564288,7546,646
848212111729840128,15049,2722
847978865427394560,0,2926
847971574464610304,0,396
847962785489326080,21757,4583
847842811428974592,5019,1193
847617282490613760,6473,376
847606175596138505,17374,3095
847251039262605312,18993,3925
847157206088847362,18393,5262
847116187444137987,19896,2881
846874817362120707,18648,3555
846514051647705089,41248,10400
846505985330044928,13094,2764
846153765933735936,29131,8188
846139713627017216,28847,9176
846042936437604353,14833,2593
845812042753855489,27067,7880
845677943972139009,23468,4388
845397057150107648,7093,1622
845306882940190720,21650,4868
845098359547420673,0,6951
844979544864018432,12692,2317
844973813909606400,13949,2860
844580511645339650,15310,2820
844223788422217728,12710,1994
843981021012017153,14140,2701
843856843873095681,19986,4175
843604394117681152,15730,2483
843235543001513987,19999,5427
842846295480000512,14234,3318
842765311967449089,6303,1177
842535590457499648,16942,3187
842163532590374912,22767,5268
842115215311396866,13052,2763
841833993020538882,0,13598
841680585030541313,24066,7169
841439858740625411,11753,3334
841320156043304961,18444,5027
841314665196081154,14766,4243
841077006473256960,21361,4892
840761248237133825,0,1622
840728873075638272,0,14615
840698636975636481,165,2
840696689258311684,11500,891
840632337062862849,8440,1622
840370681858686976,15355,4185
840268004936019968,17925,5226
839990271299457024,12535,2072
839549326359670784,25618,7085
839290600511926273,0,132
839239871831150596,25268,5950
838952994649550848,18400,3667
838921590096166913,10435,1858
838916489579200512,0,31
838831947270979586,0,10050
838561493054533637,10260,1234
838476387338051585,21002,4352
838201503651401729,0,9218
838150277551247360,1570,304
838085839343206401,133,1
838083903487373313,16492,2849
837820167694528512,31881,7169
837482249356513284,3614,408
837471256429613056,12005,2065
837110210464448512,15079,2184
836989968035819520,11967,2119
836753516572119041,18154,4270
836677758902222849,11863,2025
836648853927522308,0,508
836397794269200385,0,25130
836380477523124226,13926,2748
836260088725786625,19980,3984
836001077879255040,17923,3902
835685285446955009,0,7432
835574547218894849,16682,3305
835536468978302976,0,1546
835309094223372289,0,19198
835297930240217089,15451,2747
835264098648616962,7244,1546
835246439529840640,1992,63
835172783151792128,24603,5302
835152434251116546,20980,2763
834931633769889797,10121,1494
834786237630337024,20252,5114
834574053763584002,12828,2316
834477809192075265,0,9786
834458053273591808,9044,1549
834209720923721728,19281,4338
834167344700198914,14856,3369
834089966724603904,9464,1966
834086379323871233,12259,2044
833863086058651648,12646,2215
833826103416520705,17095,3492
833732339549220864,0,205
833722901757046785,19716,3000
833479644947025920,14029,1894
833124694597443584,18998,4451
832998151111966721,12452,2023
832769181346996225,0,38
832757312314028032,15871,3323
832682457690300417,11159,2668
832645525019123713,2743,485
832636094638288896,14920,2565
832397543355072512,11258,2038
832369877331693569,16103,2926
832273440279240704,10668,2149
832215909146226688,0,5733
832215726631055365,0,8600
832088576586297345,59,2
832040443403784192,0,8836
832032802820481025,16795,4306
831939777352105988,22499,5662
831926988323639298,319,34
831911600680497154,25881,5991
831670449226514432,9801,1690
831650051525054464,6690,1790
831552930092285952,8466,2163
831322785565769729,8758,1447
831315979191906304,6181,1039
831309418084069378,11109,2272
831262627380748289,11179,1894
830956169170665475,7520,1377
830583320585068544,62517,15433
830173239259324417,0,5248
830097400375152640,9179,2703
829878982036299777,0,4614
829861396166877184,11538,1795
829501995190984704,29925,9786
829449946868879360,9893,1863
829141528400556032,22931,6774
829011960981237760,50308,15121
828801551087042563,0,3168
828770345708580865,24114,5401
828708714936930305,34291,10343
828650029636317184,8963,1241
828409743546925057,6047,1080
828408677031882754,7263,1189
828381636999917570,11881,2063
828376505180889089,6989,995
828372645993398273,11879,2727
828361771580813312,2072,165
828046555563323392,11062,2658
828011680017821696,9782,1997
827933404142436356,18872,4838
827653905312006145,14602,2795
827600520311402496,7065,865
827324948884643840,14956,2812
827199976799354881,10009,2062
826958653328592898,20332,4614
826848821049180160,34052,9348
826615380357632002,0,3683
826598799820865537,4862,230
826598365270007810,9456,2183
826476773533745153,17374,3893
826240494070030336,12537,2418
826204788643753985,4601,856
826115272272650244,14742,2874
